post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_author,comment_status,sku,downloadable,virtual,stock,wholesale_price,markup_percentage,regular_price,discount_percentage,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:yith_product_brand
Organic Peanut Butter (37g),organic-peanut-butter-37g,177,,,publish,0,8/13/2016 21:54:12,1,open,TBCORG02,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCORG02.png,,simple,,,,The Bar Counter
Organic Coconut & Cherry (37g),organic-coconut-cherry-37g,178,,,publish,0,8/13/2016 21:54:12,1,open,TBCORG03,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCORG03.png,,simple,,,,The Bar Counter
Organic Apple Crumble (37g),organic-apple-crumble-37g,179,,,publish,0,8/13/2016 21:54:12,1,open,TBCORG04,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCORG04.png,,simple,,,,The Bar Counter
Paleo Almond Macadamia Cashew & Blueberry (40g),paleo-almond-macadamia-cashew-blueberry-40g,180,,,publish,0,8/13/2016 21:54:12,1,open,TBCPAL01,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCPAL01.png,,simple,,,,The Bar Counter
Paleo Coconut & Cacao (40g),paleo-coconut-cacao-40g,181,,,publish,0,8/13/2016 21:54:12,1,open,TBCPAL02,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCPAL02.png,,simple,,,,The Bar Counter
Paleo Pear Pecan & Vanilla (40g),paleo-pear-pecan-vanilla-40g,182,,,publish,0,8/13/2016 21:54:12,1,open,TBCPAL03,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCPAL03.png,,simple,,,,The Bar Counter
Indulge Dark Chocolate with Sweet Orange & Baobab (40g),indulge-dark-chocolate-with-sweet-orange-baobab-40g,183,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPI01,no,no,,3.29,20.00%,3.95,10.00%,3.55,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPI01.png,,simple,,,,The Bar Counter
Indulge White Chocolate with Raspberry & Acai (40g),indulge-white-chocolate-with-raspberry-acai-40g,184,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPI02,no,no,,3.29,20.00%,3.95,10.00%,3.55,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPI02.png,,simple,,,,The Bar Counter
Indulge Peanut Butter Chocolate & Maca (40g),indulge-peanut-butter-chocolate-maca-40g,185,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPI03,no,no,,3.29,20.00%,3.95,10.00%,3.55,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPI03.png,,simple,,,,The Bar Counter
Indulge Coconut Chocolate & Quinoa (40g),indulge-coconut-chocolate-quinoa-40g,186,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPI04,no,no,,3.29,20.00%,3.95,10.00%,3.55,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPI04.png,,simple,,,,The Bar Counter
Indulge Salted Caramel with Chocolate (40g),indulge-salted-caramel-with-chocolate-40g,187,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPI05,no,no,,3.29,20.00%,3.95,10.00%,3.55,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPI05.png,,simple,,,,The Bar Counter
Indulge Chocolate Quinoa & Cacoa Nibs (40g),indulge-chocolate-quinoa-cacoa-nibs-40g,188,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPI06,no,no,,3.29,20.00%,3.95,10.00%,3.55,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPI06.png,,simple,,,,The Bar Counter
Energy Square Almond Coconut & Chia (40g),energy-square-almond-coconut-chia-40g,189,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPS01,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPS01.png,,simple,,,,The Bar Counter
Energy Square Lemon Cashew (40g),energy-square-lemon-cashew-40g,190,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPS02,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPS02.png,,simple,,,,The Bar Counter
Raspberry Acai & Coconut Energy Square (40g),raspberry-acai-coconut-energy-square-40g,191,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPS03,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPS03.png,,simple,,,,The Bar Counter
Raw Blueberry & Vanilla (40g),raw-blueberry-vanilla-40g,192,,,publish,0,8/13/2016 21:54:12,1,open,TBCRAW01,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCRAW01.png,,simple,,,,The Bar Counter
Raw Chocolate & Coconut Lacuma (40g),raw-chocolate-coconut-lacuma-40g,193,,,publish,0,8/13/2016 21:54:12,1,open,TBCRAW02,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCRAW02.png,,simple,,,,The Bar Counter
Raw Chocolate (40g),raw-chocolate-40g,194,,,publish,0,8/13/2016 21:54:12,1,open,TBCRAW03,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCRAW03.png,,simple,,,,The Bar Counter
Raw Date Almond & Chia (40g),raw-date-almond-chia-40g,195,,,publish,0,8/13/2016 21:54:12,1,open,TBCRAW04,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCRAW04.png,,simple,,,,The Bar Counter
Gluten Free Salted Caramel Quinoa & Chia Bar (40g),gluten-free-salted-caramel-quinoa-chia-bar-40g,196,,,publish,0,8/13/2016 21:54:12,1,open,TBCGFE01,no,no,,2.74,20.00%,3.29,10.00%,2.96,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCGFE01.png,,simple,,,,The Bar Counter
Gluten Free Mango Coconut Bites (6x20g),gluten-free-mango-coconut-bites-6x20g,197,,,publish,0,8/13/2016 21:54:12,1,open,TBCGFE02,no,no,,6,20.00%,7.20,10.00%,6.48,0.15,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCGFE02.png,,simple,,,,The Bar Counter
Gluten Free Cashew & Coconut (40g),gluten-free-cashew-coconut-40g,198,,,publish,0,8/13/2016 21:54:12,1,open,TBCGFE03,no,no,,2.74,20.00%,3.29,10.00%,2.96,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCGFE03.png,,simple,,,,The Bar Counter
High Protein Chocolate Date Fig & Amaranth (6x20g),high-protein-chocolate-date-fig-amaranth-6x20g,199,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPN01,no,no,,6,20.00%,7.20,10.00%,6.48,0.15,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPN01.png,,simple,,,,The Bar Counter
High Protein Chocolate Mint Crunch (40g),high-protein-chocolate-mint-crunch-40g,200,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPN02,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPN02.png,,simple,,,,The Bar Counter
High Protein Dark Chocolate & Almond (40g),high-protein-dark-chocolate-almond-40g,201,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPN03,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPN03.png,,simple,,,,The Bar Counter
High Protein Chocolate Brownie Crunch (40g),high-protein-chocolate-brownie-crunch-40g,202,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPN04,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPN04.png,,simple,,,,The Bar Counter
High Protein Raspberry Truffle (40g),high-protein-raspberry-truffle-40g,203,,,publish,0,8/13/2016 21:54:12,1,open,TBCHPN05,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCHPN05.png,,simple,,,,The Bar Counter
No Added Sugar Salted Caramel & Banana (40g),no-added-sugar-salted-caramel-banana-40g,204,,,publish,0,8/13/2016 21:54:12,1,open,TBCNAS01,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCNAS01.png,,simple,,,,The Bar Counter
No Added Sugar Milk Chocolate & Hazlenut (40g),no-added-sugar-milk-chocolate-hazlenut-40g,205,,,publish,0,8/13/2016 21:54:12,1,open,TBCNAS02,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCNAS02.png,,simple,,,,The Bar Counter
No Added Sugar Dark Chocolate & Cherry (40g),no-added-sugar-dark-chocolate-cherry-40g,206,,,publish,0,8/13/2016 21:54:12,1,open,TBCNAS03,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCNAS03.png,,simple,,,,The Bar Counter
No Added Sugar Blueberry Almond & White Chocolate (40g),no-added-sugar-blueberry-almond-white-chocolate-40g,207,,,publish,0,8/13/2016 21:54:12,1,open,TBCNAS04,no,no,,2.85,20.00%,3.42,10.00%,3.08,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCNAS04.png,,simple,,,,The Bar Counter
