post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_author,comment_status,sku,downloadable,virtual,stock,wholesale_price,markup_percentage,regular_price,discount_percentage,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:yith_product_brand
Karicare Aptamil AR Thickened Infant Formula 0-12 Months,karicare-aptamil-ar-thickened-infant-formula-0-12-months,127,,,publish,0,8/13/2016 21:54:12,1,open,CWH66535,no,no,,21.99,20.00%,26.39,10.00%,23.75,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH66535.jpg,,simple,Baby Products > Baby Formula,,,Karicare
Bellamy's Organic Apple Cinnamon Porridge,bellamys-organic-apple-cinnamon-porridge,128,,,publish,0,8/13/2016 21:54:12,1,open,CWH68536,no,no,,3.69,20.00%,4.43,10.00%,3.99,0.16,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68536.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Apple Fig & Oatmeal,bellamys-organic-apple-fig-oatmeal,129,,,publish,0,8/13/2016 21:54:12,1,open,CWH68537,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68537.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Apple Snacks,bellamys-organic-apple-snacks,130,,,publish,0,8/13/2016 21:54:12,1,open,CWH68538,no,no,,3.39,20.00%,4.07,10.00%,3.66,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68538.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Spelt Macaroni,bellamys-organic-spelt-macaroni,131,,,publish,0,8/13/2016 21:54:12,1,open,CWH68539,no,no,,4.39,20.00%,5.27,10.00%,4.74,0.22,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68539.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Baby porridge,bellamys-organic-baby-porridge,132,,,publish,0,8/13/2016 21:54:12,1,open,CWH68540,no,no,,3.69,20.00%,4.43,10.00%,3.99,0.15,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68540.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Baby rice,bellamys-organic-baby-rice,133,,,publish,0,8/13/2016 21:54:12,1,open,CWH68541,no,no,,3.69,20.00%,4.43,10.00%,3.99,0.15,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68541.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Berries Cinnamon & Apple,bellamys-organic-berries-cinnamon-apple,134,,,publish,0,8/13/2016 21:54:12,1,open,CWH68544,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68544.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Broccoli Beef Brown Rice,bellamys-organic-broccoli-beef-brown-rice,135,,,publish,0,8/13/2016 21:54:12,1,open,CWH68545,no,no,,1.89,20.00%,2.27,10.00%,2.04,0.13,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68545.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Brown Rice Pasta Stars,bellamys-organic-brown-rice-pasta-stars,136,,,publish,0,8/13/2016 21:54:12,1,open,CWH68546,no,no,,4.39,20.00%,5.27,10.00%,4.74,0.22,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68546.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
